GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
online-library,com.library.model,Book,6,109,0,2,2,45,2,31,2,30
online-library,com.library.model,User,0,82,0,0,0,33,0,19,0,19
online-library,com.library.model,Borrowing,3,104,0,2,1,42,1,28,1,27
online-library,com.library.dao,BookDAO,336,277,33,13,98,70,27,10,8,6
online-library,com.library.dao,UserDAO,370,3,40,0,102,1,29,1,9,1
online-library,com.library.dao,BorrowingDAO,431,3,46,0,120,1,33,1,10,1
online-library,com.library.servlet.admin,AdminBookServlet,222,0,14,0,55,0,17,0,10,0
online-library,com.library.servlet.admin,AdminBorrowingServlet,28,0,0,0,8,0,3,0,3,0
online-library,com.library.servlet.admin,AdminDashboardServlet,75,0,0,0,18,0,3,0,3,0
online-library,com.library.servlet.admin,AdminUserServlet,60,0,4,0,17,0,7,0,5,0
online-library,com.library.util,PasswordUtil,3,8,0,0,1,2,1,2,1,2
online-library,com.library.util,DatabaseConnection,13,25,1,3,5,13,2,5,1,4
online-library,com.library.filter,AuthFilter,60,0,6,0,18,0,7,0,4,0
online-library,com.library.filter,AdminFilter,66,0,8,0,22,0,8,0,4,0
online-library,com.library.servlet,BookDetailServlet,83,0,10,0,25,0,8,0,3,0
online-library,com.library.servlet,MyBorrowingsServlet,39,0,0,0,10,0,3,0,3,0
online-library,com.library.servlet,LogoutServlet,15,0,2,0,6,0,3,0,2,0
online-library,com.library.servlet,ReturnServlet,112,0,20,0,33,0,13,0,3,0
online-library,com.library.servlet,BookServlet,72,0,8,0,17,0,7,0,3,0
online-library,com.library.servlet,LoginServlet,74,0,14,0,22,0,11,0,4,0
online-library,com.library.servlet,RegisterServlet,128,0,26,0,38,0,17,0,4,0
online-library,com.library.servlet,BorrowServlet,129,0,18,0,37,0,12,0,3,0
